,Country,Sector,Industry,Length_of_Business_Summary,Currency
PTIE,,,,0,
NAVB,United States,Healthcare,Biotechnology,1548,USD
SWIR,,,,0,
GFA,,,,0,
PRTS,United States,Consumer Cyclical,Auto Parts,820,USD
BTE,Canada,Energy,Oil & Gas E&P,564,USD
TECH,United States,Healthcare,Biotechnology,1835,USD
PRGO,Ireland,Healthcare,Drug Manufacturers - Specialty & Generic,1990,USD
CHMG,United States,Financial Services,Banks - Regional,1045,USD
ARES,United States,Financial Services,Asset Management,1218,USD
MGEE,United States,Utilities,Utilities - Regulated Electric,1086,USD
GIL,Canada,Consumer Cyclical,Apparel Manufacturing,1165,USD
ESLT,Israel,Industrials,Aerospace & Defense,1839,USD
GNTY,United States,Financial Services,Banks - Regional,995,USD
OPB,,,,0,
ACA,United States,Industrials,Engineering & Construction,1333,USD
AQUA,,,,0,
HSII,United States,Industrials,Staffing & Employment Services,1127,USD
YMAB,United States,Healthcare,Biotechnology,1218,USD
TESO,,,,0,
ENS,United States,Industrials,Electrical Equipment & Parts,1948,USD
IR,United States,Industrials,Specialty Industrial Machinery,1894,USD
BHP,Australia,Basic Materials,Other Industrial Metals & Mining,684,USD
CDE,United States,Basic Materials,Gold,475,USD
CBU,United States,Financial Services,Banks - Regional,2007,USD
ADI,United States,Technology,Semiconductors,1574,USD
TSCO,United States,Consumer Cyclical,Specialty Retail,1430,USD
AR,United States,Energy,Oil & Gas E&P,865,USD
AGCO,United States,Industrials,Farm & Heavy Construction Machinery,1994,USD
ECOM,,,,0,
RENO,United States,Industrials,Pollution & Treatment Controls,1064,USD
CNTG,Germany,Healthcare,Diagnostics & Research,1444,USD
MCBC,United States,Financial Services,Banks - Regional,1231,USD
PPHM,,,,0,
KNSA,United Kingdom,Healthcare,Biotechnology,1142,USD
SPNE,,,,0,
NXRT,United States,Real Estate,REIT - Residential,571,USD
IMNN,United States,Healthcare,Biotechnology,1190,USD
NVNO,United States,Healthcare,Medical Devices,795,USD
ACU,United States,Consumer Defensive,Household & Personal Products,1855,USD
MDCA,,,,0,
RCEL,United States,Healthcare,Medical Devices,595,USD
AEON,United States,Healthcare,Biotechnology,494,USD
CUDA,,,,0,
TPST,United States,Healthcare,Biotechnology,782,USD
TWIN,United States,Industrials,Specialty Industrial Machinery,919,USD
LPX,United States,Industrials,Building Products & Equipment,1401,USD
CLB,United States,Energy,Oil & Gas Equipment & Services,1400,USD
FISV,,,,0,USD
GARS,,,,0,
FSIC,,,,0,
RUBY,,,,0,
DRH,United States,Real Estate,REIT - Hotel & Motel,1086,USD
CMCO,United States,Industrials,Farm & Heavy Construction Machinery,1997,USD
LXEO,United States,Healthcare,Biotechnology,940,USD
WSBF,United States,Financial Services,Banks - Regional,1788,USD
ARMP,United States,Healthcare,Biotechnology,735,USD
NVGS,United Kingdom,Energy,Oil & Gas Midstream,671,USD
TMQ,Canada,Basic Materials,Other Industrial Metals & Mining,754,USD
IDSY,,,,0,
VTEX,United Kingdom,Technology,Software - Application,561,USD
BRT,United States,Real Estate,REIT - Residential,262,USD
HPQ,United States,Technology,Computer Hardware,1264,USD
NCSM,United States,Energy,Oil & Gas Equipment & Services,1257,USD
DICE,,,,0,
URGN,United States,Healthcare,Biotechnology,1303,USD
PLYM,United States,Real Estate,REIT - Industrial,317,USD
BARK,United States,Consumer Cyclical,Specialty Retail,1072,USD
FENG,China,Communication Services,Internet Content & Information,1386,USD
INLX,United States,Technology,Software - Application,1713,USD
MNTV,,,,0,
AUB,United States,Financial Services,Banks - Regional,1212,USD
CTK,,,,0,
MKFG,United States,Technology,Computer Hardware,531,USD
BETR,United States,Financial Services,Mortgage Finance,723,USD
ASTR,United States,Industrials,Aerospace & Defense,909,USD
SUZ,Brazil,Basic Materials,Paper & Paper Products,1350,USD
ALVO,Luxembourg,Healthcare,Drug Manufacturers - Specialty & Generic,1577,USD
CSLR,United States,Technology,Solar,512,USD
CUB,,,,0,
PSTG,United States,Technology,Computer Hardware,1985,USD
KRRO,United States,Healthcare,Biotechnology,703,USD
LONE,,,,0,
BBD,Brazil,Financial Services,Banks - Regional,808,USD
HLN,United Kingdom,Healthcare,Drug Manufacturers - Specialty & Generic,1051,USD
CYRX,United States,Industrials,Integrated Freight & Logistics,1976,USD
EIX,United States,Utilities,Utilities - Regulated Electric,680,USD
TUES,,,,0,
NNDM,Israel,Technology,Computer Hardware,1359,USD
NEUE,United States,Healthcare,Healthcare Plans,1083,USD
ZYXI,United States,Healthcare,Medical Distribution,1760,USD
